date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2024-01-01 | 100
2040-02-05 | 200
2015-06-30 | 300
2016-11-27 | 400
2038-03-29 | 500
2038-01-19 | 600
2001-09-09 | 700
2023-12-31 | 800
2100-02-29 | 900
2023-12-31 | 1000
2023-01-31 | 1100
2023-02-28 | 1200
2023-03-31 | 1300
2023-04-30 | 1400
2023-05-31 | 1500
2023-06-30 | 1600
2023-07-31 | 1700
2023-08-31 | 1800
2023-09-30 | 1900
2023-10-31 | 2000
2023-11-30 | 2100
1999-12-31 | 2200
1970-01-01 | 2300
2000-02-29 | 2400
2004-02-29 | 2500
2008-02-29 | 2600
